02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:2986 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:2986 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:2986 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:2986 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:2986 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:2930 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:2930 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:2930 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:2930 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:2930 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:2930 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:2930 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:2930 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:2930 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:2930 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:2727 already exists
